"Age","ModLat","ModLon"
54.6783333333333,37.58,-3.24
54.22000122,37.58,-3.24
54.22900009,37.58,-3.24
54.4355011,37.58,-3.24
54.58300018,37.58,-3.24
54.75999832,37.58,-3.24
54.80529404,37.58,-3.24
54.85058975,37.58,-3.24
54.88941193,37.58,-3.24
54.93470383,37.58,-3.24
54.97352982,37.58,-3.24
55.01882172,37.58,-3.24
55.06411743,37.58,-3.24
55.10941315,37.58,-3.24
55.15470505,37.58,-3.24
55.20000076,37.58,-3.24
55.24399948,37.58,-3.24
55.28171539,37.58,-3.24
55.32571411,37.58,-3.24
55.36343002,37.58,-3.24
55.41999817,37.58,-3.24
55.45142746,37.58,-3.24
55.5017128,37.58,-3.24
55.53314209,37.58,-3.24
55.57714462,37.58,-3.24
55.6085701,37.58,-3.24
55.63999939,37.58,-3.24
55.68349457,37.58,-3.24
55.72698975,37.58,-3.24
55.77048492,37.58,-3.24
55.80776596,37.58,-3.24
55.82640839,37.58,-3.24
55.83883667,37.58,-3.24
55.87611771,37.58,-3.24
55.9071846,37.58,-3.24
55.92582703,37.58,-3.24
55.94446564,37.58,-3.24
55.95067978,37.58,-3.24
55.95689392,37.58,-3.24
55.95999908,37.58,-3.24
56.00345993,37.58,-3.24
56.05026245,37.58,-3.24
56.09038162,37.58,-3.24
56.13049698,37.58,-3.24
56.18398666,37.58,-3.24
56.23747635,37.58,-3.24
56.27759552,37.58,-3.24
56.32439804,37.58,-3.24
56.37120056,37.58,-3.24
56.45812225,37.58,-3.24
56.51161194,37.58,-3.24
56.56510162,37.58,-3.24
56.61859131,37.58,-3.24
56.67208099,37.58,-3.24
56.72557068,37.58,-3.24
56.77906036,37.58,-3.24
56.83255005,37.58,-3.24
56.88603973,37.58,-3.24
56.93952942,37.58,-3.24
57.04650879,37.58,-3.24
57.07325363,37.58,-3.24
57.09999847,37.58,-3.24
57.14680481,37.58,-3.24
57.20697784,37.58,-3.24
57.24709702,37.58,-3.24
57.29390335,37.58,-3.24
57.34070206,37.58,-3.24
57.40087891,37.58,-3.24
57.4343071,37.58,-3.24
66.331853,39.61,-74.44
66.234014,39.61,-74.44
66.192083,39.61,-74.44
66.188977,39.61,-74.44
66.176553,39.61,-74.44
66.165682,39.61,-74.44
66.154811,39.61,-74.44
66.147046,39.61,-74.44
66.134622,39.61,-74.44
66.125304,39.61,-74.44
66.103562,39.61,-74.44
66.078714,39.61,-74.44
66.077161,39.61,-74.44
66.063184,39.61,-74.44
54.6783333333333,39.61,-74.44
56.54,39.61,-74.44
65.519936,39.61,-74.44
65.60528,39.61,-74.44
65.641856,39.61,-74.44
66.04529017,39.61,-74.44
66.05398964,39.61,-74.44
66.0573,39.61,-74.44
66.0587,39.61,-74.44
66.0601,39.61,-74.44
66.0642,39.61,-74.44
66.0647,39.61,-74.44
66.068,39.61,-74.44
66.0703,39.61,-74.44
66.0708,39.61,-74.44
66.075,39.61,-74.44
66.0983,39.61,-74.44
66.10575,39.61,-74.44
66.1132,39.61,-74.44
66.1216,39.61,-74.44
66.1449,39.61,-74.44
66.1682,39.61,-74.44
66.1916,39.61,-74.44
66.2149,39.61,-74.44
66.2662,39.61,-74.44
66.30813472,39.61,-74.44
66.35476684,39.61,-74.44
66.40139896,39.61,-74.44
66.44803109,39.61,-74.44
66.55801527,39.61,-74.44
66.02,31.11,-96.84
66.0456,31.11,-96.84
35.35554545,31.92,-88.44
69.085,50.43,-46.37
85.84,9.45,-54.34
88.94,9.45,-54.34
89.74,9.45,-54.34
90.08,9.45,-54.34
94.0038,9.45,-54.34
18.22,-30.89,-17.98
0.490909091,6.62,-85.24
0.897272727,6.62,-85.24
1.100454545,6.62,-85.24
1.303636364,6.62,-85.24
1.506818182,6.62,-85.24
1.71,6.62,-85.24
1.869537572,6.62,-85.24
2.029075145,6.62,-85.24
2.223740157,6.62,-85.24
3.145,6.62,-85.24
3.483372093,6.62,-85.24
3.990930233,6.62,-85.24
4.498488372,6.62,-85.24
4.667674419,6.62,-85.24
5.006046512,6.62,-85.24
5.513604651,6.62,-85.24
5.676040523,6.62,-85.24
5.815218709,6.62,-85.24
5.894749101,6.62,-85.24
5.972953986,6.62,-85.24
6.086947548,6.62,-85.24
6.146595342,6.62,-85.24
6.276108506,6.62,-85.24
6.372558607,6.62,-85.24
6.565458808,6.62,-85.24
6.661908908,6.62,-85.24
6.758359009,6.62,-85.24
6.95125921,6.62,-85.24
7.254863524,6.62,-85.24
8.158991654,6.62,-85.24
9.73368148,6.62,-85.24
10.41931198,6.62,-85.24
11.02106555,6.62,-85.24
11.14408343,6.62,-85.24
11.2671013,6.62,-85.24
11.32861024,6.62,-85.24
11.69766387,6.62,-85.24
11.76122311,6.62,-85.24
11.82068175,6.62,-85.24
11.8719392,6.62,-85.24
12.78432179,6.62,-85.24
3.09,-30.34,-15.71
6.29,-30.34,-15.71
12.725,7.07,-176.83
25.165,7.07,-176.83
30.595,7.07,-176.83
54.6783333333333,-28.52,-26.85
